"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 26 06:16:04 GMT 2025","Wed Feb 26 06:16:48 GMT 2025","44512","","","","","","BB Evergreen nightly -- @1.1 ",""
"passed","Wed Feb 26 06:05:07 GMT 2025","Wed Feb 26 06:05:53 GMT 2025","45601","","","","","","Unbroken live nightly -- @1.1 ",""
"passed","Wed Feb 26 06:16:48 GMT 2025","Wed Feb 26 06:19:52 GMT 2025","183516","","","","","","BB Evergreen nightly -- @1.2 ",""
"passed","Wed Feb 26 05:46:17 GMT 2025","Wed Feb 26 05:48:52 GMT 2025","155221","","","","","","BB Live funnel -- @1.14 ",""
"passed","Wed Feb 26 05:27:55 GMT 2025","Wed Feb 26 05:29:52 GMT 2025","117136","","","","","","BB Live funnel -- @1.5 ",""
"passed","Wed Feb 26 06:12:18 GMT 2025","Wed Feb 26 06:13:02 GMT 2025","44152","","","","","","BB Live nightly -- @1.1 ",""
"passed","Wed Feb 26 06:11:32 GMT 2025","Wed Feb 26 06:12:18 GMT 2025","45809","","","","","","Unbroken evergreen funnel -- @1.2 ",""
"passed","Wed Feb 26 05:19:12 GMT 2025","Wed Feb 26 05:21:39 GMT 2025","147339","","","","","","BB Live funnel -- @1.1 ",""
"passed","Wed Feb 26 05:55:54 GMT 2025","Wed Feb 26 05:58:18 GMT 2025","144455","","","","","","BB Live funnel -- @1.19 ",""
"passed","Wed Feb 26 06:13:02 GMT 2025","Wed Feb 26 06:16:04 GMT 2025","181603","","","","","","BB Live nightly -- @1.2 ",""
"passed","Wed Feb 26 06:26:50 GMT 2025","Wed Feb 26 06:27:37 GMT 2025","47338","","","","","","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ",""
"passed","Wed Feb 26 06:03:48 GMT 2025","Wed Feb 26 06:05:07 GMT 2025","78617","","","","","","BB Live funnel -- @1.23 ",""
"passed","Wed Feb 26 06:30:41 GMT 2025","Wed Feb 26 06:33:00 GMT 2025","138503","","","","","","Restore Gut Supplement nightly -- @1.2 ",""
"passed","Wed Feb 26 05:37:13 GMT 2025","Wed Feb 26 05:39:47 GMT 2025","153381","","","","","","BB Live funnel -- @1.10 ",""
"passed","Wed Feb 26 05:44:22 GMT 2025","Wed Feb 26 05:46:17 GMT 2025","115005","","","","","","BB Live funnel -- @1.13 ",""
"passed","Wed Feb 26 05:23:42 GMT 2025","Wed Feb 26 05:25:50 GMT 2025","127883","","","","","","BB Live funnel -- @1.3 ",""
"passed","Wed Feb 26 05:58:18 GMT 2025","Wed Feb 26 06:00:19 GMT 2025","120479","","","","","","BB Live funnel -- @1.20 ",""
"passed","Wed Feb 26 05:51:23 GMT 2025","Wed Feb 26 05:53:29 GMT 2025","125916","","","","","","BB Live funnel -- @1.16 ",""
"passed","Wed Feb 26 06:19:52 GMT 2025","Wed Feb 26 06:22:55 GMT 2025","182820","","","","","","Ageless Evergreen nightly -- @1.1 ",""
"passed","Wed Feb 26 05:48:52 GMT 2025","Wed Feb 26 05:51:23 GMT 2025","151623","","","","","","BB Live funnel -- @1.15 ",""
"passed","Wed Feb 26 06:05:53 GMT 2025","Wed Feb 26 06:08:27 GMT 2025","154778","","","","","","Unbroken live nightly -- @1.2 ",""
"passed","Wed Feb 26 05:29:52 GMT 2025","Wed Feb 26 05:31:47 GMT 2025","114982","","","","","","BB Live funnel -- @1.6 ",""
"passed","Wed Feb 26 05:55:02 GMT 2025","Wed Feb 26 05:55:54 GMT 2025","51618","","","","","","BB Live funnel -- @1.18 ",""
"passed","Wed Feb 26 05:41:46 GMT 2025","Wed Feb 26 05:44:22 GMT 2025","155570","","","","","","BB Live funnel -- @1.12 ",""
"passed","Wed Feb 26 05:39:47 GMT 2025","Wed Feb 26 05:41:46 GMT 2025","119352","","","","","","BB Live funnel -- @1.11 ",""
"passed","Wed Feb 26 06:00:19 GMT 2025","Wed Feb 26 06:01:43 GMT 2025","84550","","","","","","BB Live funnel -- @1.21 ",""
"passed","Wed Feb 26 06:01:43 GMT 2025","Wed Feb 26 06:03:48 GMT 2025","125299","","","","","","BB Live funnel -- @1.22 ",""
"passed","Wed Feb 26 06:23:39 GMT 2025","Wed Feb 26 06:24:25 GMT 2025","46625","","","","","","Restore Sleep Supplement nightly -- @1.1 ",""
"passed","Wed Feb 26 06:08:27 GMT 2025","Wed Feb 26 06:11:32 GMT 2025","184870","","","","","","Unbroken evergreen funnel -- @1.1 ",""
"passed","Wed Feb 26 06:22:55 GMT 2025","Wed Feb 26 06:23:39 GMT 2025","43992","","","","","","Ageless Evergreen nightly -- @1.2 ",""
"passed","Wed Feb 26 06:24:25 GMT 2025","Wed Feb 26 06:26:50 GMT 2025","144397","","","","","","Restore Sleep Supplement nightly -- @1.2 ",""
"passed","Wed Feb 26 05:53:29 GMT 2025","Wed Feb 26 05:55:02 GMT 2025","92717","","","","","","BB Live funnel -- @1.17 ",""
"passed","Wed Feb 26 05:21:39 GMT 2025","Wed Feb 26 05:23:42 GMT 2025","123259","","","","","","BB Live funnel -- @1.2 ",""
"passed","Wed Feb 26 05:33:39 GMT 2025","Wed Feb 26 05:35:14 GMT 2025","94878","","","","","","BB Live funnel -- @1.8 ",""
"passed","Wed Feb 26 05:31:47 GMT 2025","Wed Feb 26 05:33:39 GMT 2025","112162","","","","","","BB Live funnel -- @1.7 ",""
"passed","Wed Feb 26 05:35:14 GMT 2025","Wed Feb 26 05:37:13 GMT 2025","119552","","","","","","BB Live funnel -- @1.9 ",""
"passed","Wed Feb 26 06:29:59 GMT 2025","Wed Feb 26 06:30:41 GMT 2025","42056","","","","","","Restore Gut Supplement nightly -- @1.1 ",""
"passed","Wed Feb 26 05:25:50 GMT 2025","Wed Feb 26 05:27:55 GMT 2025","124204","","","","","","BB Live funnel -- @1.4 ",""
"passed","Wed Feb 26 06:27:37 GMT 2025","Wed Feb 26 06:29:59 GMT 2025","142055","","","","","","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ",""
