"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 13 09:41:22 GMT 2025","Thu Mar 13 09:43:51 GMT 2025","149307","","","","","","BB Live funnel -- @1.19 ",""
"passed","Thu Mar 13 09:38:48 GMT 2025","Thu Mar 13 09:40:27 GMT 2025","99162","","","","","","BB Live funnel -- @1.17 ",""
"passed","Thu Mar 13 09:12:50 GMT 2025","Thu Mar 13 09:14:49 GMT 2025","119110","","","","","","BB Live funnel -- @1.5 ",""
"passed","Thu Mar 13 09:22:21 GMT 2025","Thu Mar 13 09:24:59 GMT 2025","157984","","","","","","BB Live funnel -- @1.10 ",""
"passed","Thu Mar 13 09:47:24 GMT 2025","Thu Mar 13 09:49:34 GMT 2025","130251","","","","","","BB Live funnel -- @1.22 ",""
"passed","Thu Mar 13 09:45:56 GMT 2025","Thu Mar 13 09:47:24 GMT 2025","87763","","","","","","BB Live funnel -- @1.21 ",""
"passed","Thu Mar 13 09:20:20 GMT 2025","Thu Mar 13 09:22:21 GMT 2025","121411","","","","","","BB Live funnel -- @1.9 ",""
"passed","Thu Mar 13 09:27:00 GMT 2025","Thu Mar 13 09:29:39 GMT 2025","159141","","","","","","BB Live funnel -- @1.12 ",""
"failed","Thu Mar 13 09:29:39 GMT 2025","Thu Mar 13 09:31:21 GMT 2025","101215","","","","","","BB Live funnel -- @1.13 ",""
"passed","Thu Mar 13 09:16:48 GMT 2025","Thu Mar 13 09:18:42 GMT 2025","113935","","","","","","BB Live funnel -- @1.7 ",""
"passed","Thu Mar 13 09:14:49 GMT 2025","Thu Mar 13 09:16:48 GMT 2025","119053","","","","","","BB Live funnel -- @1.6 ",""
"failed","Thu Mar 13 09:03:54 GMT 2025","Thu Mar 13 09:06:42 GMT 2025","168206","","","","","","BB Live funnel -- @1.1 ",""
"passed","Thu Mar 13 09:40:27 GMT 2025","Thu Mar 13 09:41:22 GMT 2025","54868","","","","","","BB Live funnel -- @1.18 ",""
"passed","Thu Mar 13 09:43:51 GMT 2025","Thu Mar 13 09:45:56 GMT 2025","125251","","","","","","BB Live funnel -- @1.20 ",""
"failed","Thu Mar 13 09:49:34 GMT 2025","Thu Mar 13 09:51:12 GMT 2025","97931","","","","","","BB Live funnel -- @1.23 ",""
"passed","Thu Mar 13 09:08:35 GMT 2025","Thu Mar 13 09:10:44 GMT 2025","129456","","","","","","BB Live funnel -- @1.3 ",""
"passed","Thu Mar 13 09:24:59 GMT 2025","Thu Mar 13 09:27:00 GMT 2025","121013","","","","","","BB Live funnel -- @1.11 ",""
"failed","Thu Mar 13 09:06:42 GMT 2025","Thu Mar 13 09:08:35 GMT 2025","112123","","","","","","BB Live funnel -- @1.2 ",""
"passed","Thu Mar 13 09:36:37 GMT 2025","Thu Mar 13 09:38:48 GMT 2025","130988","","","","","","BB Live funnel -- @1.16 ",""
"passed","Thu Mar 13 09:18:42 GMT 2025","Thu Mar 13 09:20:20 GMT 2025","97427","","","","","","BB Live funnel -- @1.8 ",""
"passed","Thu Mar 13 09:10:44 GMT 2025","Thu Mar 13 09:12:50 GMT 2025","126308","","","","","","BB Live funnel -- @1.4 ",""
"passed","Thu Mar 13 09:31:21 GMT 2025","Thu Mar 13 09:34:01 GMT 2025","160009","","","","","","BB Live funnel -- @1.14 ",""
"passed","Thu Mar 13 09:34:01 GMT 2025","Thu Mar 13 09:36:37 GMT 2025","155978","","","","","","BB Live funnel -- @1.15 ",""
