"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 06 21:52:46 GMT 2025","Sun Jul 06 21:55:00 GMT 2025","133363","","","","","","Unbroken evergreen funnel -- @1.17 ",""
"passed","Sun Jul 06 21:32:33 GMT 2025","Sun Jul 06 21:34:44 GMT 2025","130302","","","","","","Unbroken evergreen funnel -- @1.8 ",""
"passed","Sun Jul 06 21:22:06 GMT 2025","Sun Jul 06 21:23:51 GMT 2025","104446","","","","","","Unbroken evergreen funnel -- @1.3 ",""
"passed","Sun Jul 06 22:55:04 GMT 2025","Sun Jul 06 22:57:30 GMT 2025","146288","","","","","","Restore Vision Supplement funnel -- @1.9 ",""
"passed","Sun Jul 06 22:26:22 GMT 2025","Sun Jul 06 22:27:04 GMT 2025","42419","","","","","","Ageless Live nightly -- @1.2 ",""
"passed","Sun Jul 06 22:43:39 GMT 2025","Sun Jul 06 22:46:04 GMT 2025","144814","","","","","","Restore Vision Supplement funnel -- @1.4 ",""
"passed","Sun Jul 06 22:30:23 GMT 2025","Sun Jul 06 22:31:13 GMT 2025","49557","","","","","","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ",""
"passed","Sun Jul 06 21:17:50 GMT 2025","Sun Jul 06 21:20:37 GMT 2025","167446","","","","","","Unbroken evergreen funnel -- @1.1 ",""
"passed","Sun Jul 06 22:11:58 GMT 2025","Sun Jul 06 22:15:12 GMT 2025","193951","","","","","","BB Live nightly -- @1.2 ",""
"passed","Sun Jul 06 22:46:04 GMT 2025","Sun Jul 06 22:48:24 GMT 2025","140320","","","","","","Restore Vision Supplement funnel -- @1.5 ",""
"passed","Sun Jul 06 21:30:21 GMT 2025","Sun Jul 06 21:32:33 GMT 2025","132180","","","","","","Unbroken evergreen funnel -- @1.7 ",""
"passed","Sun Jul 06 21:34:44 GMT 2025","Sun Jul 06 21:36:50 GMT 2025","125796","","","","","","Unbroken evergreen funnel -- @1.9 ",""
"passed","Sun Jul 06 22:31:13 GMT 2025","Sun Jul 06 22:33:42 GMT 2025","148938","","","","","","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ",""
"failed","Sun Jul 06 22:57:30 GMT 2025","Sun Jul 06 22:59:51 GMT 2025","140508","","","","","","Restore Vision Supplement funnel -- @1.10 ",""
"passed","Sun Jul 06 22:15:56 GMT 2025","Sun Jul 06 22:19:09 GMT 2025","192803","","","","","","BB Evergreen nightly -- @1.2 ",""
"passed","Sun Jul 06 22:19:09 GMT 2025","Sun Jul 06 22:22:23 GMT 2025","193779","","","","","","Ageless Evergreen nightly -- @1.1 ",""
"passed","Sun Jul 06 23:09:30 GMT 2025","Sun Jul 06 23:11:52 GMT 2025","141819","","","","","","Restore Vision Supplement funnel -- @1.15 ",""
"passed","Sun Jul 06 22:34:29 GMT 2025","Sun Jul 06 22:36:52 GMT 2025","143795","","","","","","Restore Gut Supplement nightly -- @1.2 ",""
"passed","Sun Jul 06 22:07:17 GMT 2025","Sun Jul 06 22:10:30 GMT 2025","192725","","","","","","Unbroken evergreen funnel -- @1.1 ",""
"passed","Sun Jul 06 21:23:51 GMT 2025","Sun Jul 06 21:25:59 GMT 2025","127719","","","","","","Unbroken evergreen funnel -- @1.4 ",""
"passed","Sun Jul 06 22:52:42 GMT 2025","Sun Jul 06 22:55:04 GMT 2025","141849","","","","","","Restore Vision Supplement funnel -- @1.8 ",""
"passed","Sun Jul 06 22:36:53 GMT 2025","Sun Jul 06 22:38:44 GMT 2025","111299","","","","","","Restore Vision Supplement funnel -- @1.1 ",""
"passed","Sun Jul 06 21:59:24 GMT 2025","Sun Jul 06 22:01:42 GMT 2025","138202","","","","","","Unbroken evergreen funnel -- @1.20 ",""
"passed","Sun Jul 06 22:04:31 GMT 2025","Sun Jul 06 22:07:17 GMT 2025","165713","","","","","","Unbroken live nightly -- @1.2 ",""
"passed","Sun Jul 06 21:36:50 GMT 2025","Sun Jul 06 21:39:08 GMT 2025","138205","","","","","","Unbroken evergreen funnel -- @1.10 ",""
"passed","Sun Jul 06 21:25:59 GMT 2025","Sun Jul 06 21:28:16 GMT 2025","137617","","","","","","Unbroken evergreen funnel -- @1.5 ",""
"passed","Sun Jul 06 21:55:00 GMT 2025","Sun Jul 06 21:57:07 GMT 2025","126951","","","","","","Unbroken evergreen funnel -- @1.18 ",""
