"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 17 06:32:20 GMT 2025","Tue Jun 17 06:35:03 GMT 2025","163177","","","","","","TF Evergreen funnel -- @1.10 ",""
"passed","Tue Jun 17 06:57:09 GMT 2025","Tue Jun 17 06:58:41 GMT 2025","92280","","","","","","TF Evergreen funnel -- @1.21 ",""
"passed","Tue Jun 17 06:54:58 GMT 2025","Tue Jun 17 06:57:09 GMT 2025","130376","","","","","","TF Evergreen funnel -- @1.20 ",""
"passed","Tue Jun 17 06:58:41 GMT 2025","Tue Jun 17 07:00:56 GMT 2025","134808","","","","","","TF Evergreen funnel -- @1.22 ",""
"passed","Tue Jun 17 06:19:58 GMT 2025","Tue Jun 17 06:22:11 GMT 2025","132768","","","","","","TF Evergreen funnel -- @1.4 ",""
"passed","Tue Jun 17 06:17:41 GMT 2025","Tue Jun 17 06:19:58 GMT 2025","137699","","","","","","TF Evergreen funnel -- @1.3 ",""
"passed","Tue Jun 17 06:49:44 GMT 2025","Tue Jun 17 06:51:24 GMT 2025","100258","","","","","","TF Evergreen funnel -- @1.17 ",""
"passed","Tue Jun 17 06:37:11 GMT 2025","Tue Jun 17 06:39:59 GMT 2025","168122","","","","","","TF Evergreen funnel -- @1.12 ",""
"passed","Tue Jun 17 06:28:23 GMT 2025","Tue Jun 17 06:30:10 GMT 2025","106860","","","","","","TF Evergreen funnel -- @1.8 ",""
"passed","Tue Jun 17 06:24:19 GMT 2025","Tue Jun 17 06:26:24 GMT 2025","125533","","","","","","TF Evergreen funnel -- @1.6 ",""
"passed","Tue Jun 17 06:35:03 GMT 2025","Tue Jun 17 06:37:11 GMT 2025","128085","","","","","","TF Evergreen funnel -- @1.11 ",""
"passed","Tue Jun 17 06:22:11 GMT 2025","Tue Jun 17 06:24:19 GMT 2025","127520","","","","","","TF Evergreen funnel -- @1.5 ",""
"passed","Tue Jun 17 06:12:52 GMT 2025","Tue Jun 17 06:15:29 GMT 2025","156492","","","","","","TF Evergreen funnel -- @1.1 ",""
"passed","Tue Jun 17 06:51:24 GMT 2025","Tue Jun 17 06:52:24 GMT 2025","59748","","","","","","TF Evergreen funnel -- @1.18 ",""
"passed","Tue Jun 17 06:26:24 GMT 2025","Tue Jun 17 06:28:23 GMT 2025","118915","","","","","","TF Evergreen funnel -- @1.7 ",""
"passed","Tue Jun 17 06:15:29 GMT 2025","Tue Jun 17 06:17:41 GMT 2025","132043","","","","","","TF Evergreen funnel -- @1.2 ",""
"passed","Tue Jun 17 06:47:28 GMT 2025","Tue Jun 17 06:49:44 GMT 2025","135054","","","","","","TF Evergreen funnel -- @1.16 ",""
"passed","Tue Jun 17 07:00:56 GMT 2025","Tue Jun 17 07:02:23 GMT 2025","87341","","","","","","TF Evergreen funnel -- @1.23 ",""
"passed","Tue Jun 17 06:39:59 GMT 2025","Tue Jun 17 06:42:03 GMT 2025","123105","","","","","","TF Evergreen funnel -- @1.13 ",""
"passed","Tue Jun 17 06:52:24 GMT 2025","Tue Jun 17 06:54:58 GMT 2025","154885","","","","","","TF Evergreen funnel -- @1.19 ",""
"passed","Tue Jun 17 06:44:46 GMT 2025","Tue Jun 17 06:47:28 GMT 2025","161986","","","","","","TF Evergreen funnel -- @1.15 ",""
"passed","Tue Jun 17 06:42:03 GMT 2025","Tue Jun 17 06:44:46 GMT 2025","163937","","","","","","TF Evergreen funnel -- @1.14 ",""
"passed","Tue Jun 17 06:30:10 GMT 2025","Tue Jun 17 06:32:20 GMT 2025","129947","","","","","","TF Evergreen funnel -- @1.9 ",""
