"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 09 06:20:01 GMT 2024","Mon Dec 09 06:22:22 GMT 2024","141020","","","","","","Restore Gut Supplement funnel -- @1.13 ",""
"failed","Mon Dec 09 05:31:44 GMT 2024","Mon Dec 09 05:33:06 GMT 2024","81274","","","","","","Restore Sleep Supplement funnel -- @1.3 ",""
"passed","Mon Dec 09 05:57:55 GMT 2024","Mon Dec 09 06:00:19 GMT 2024","144436","","","","","","Restore Gut Supplement funnel -- @1.3 ",""
"failed","Mon Dec 09 05:42:37 GMT 2024","Mon Dec 09 05:43:28 GMT 2024","50632","","","","","","Restore Sleep Supplement funnel -- @1.9 ",""
"failed","Mon Dec 09 05:28:30 GMT 2024","Mon Dec 09 05:28:59 GMT 2024","28711","","","","","","Unbroken funnel -- @1.17 ",""
"failed","Mon Dec 09 05:22:43 GMT 2024","Mon Dec 09 05:23:12 GMT 2024","28834","","","","","","Unbroken funnel -- @1.5 ",""
"failed","Mon Dec 09 05:25:08 GMT 2024","Mon Dec 09 05:25:37 GMT 2024","28789","","","","","","Unbroken funnel -- @1.10 ",""
"passed","Mon Dec 09 05:55:36 GMT 2024","Mon Dec 09 05:57:55 GMT 2024","138364","","","","","","Restore Gut Supplement funnel -- @1.2 ",""
"passed","Mon Dec 09 06:04:52 GMT 2024","Mon Dec 09 06:06:39 GMT 2024","106941","","","","","","Restore Gut Supplement funnel -- @1.6 ",""
"failed","Mon Dec 09 05:23:41 GMT 2024","Mon Dec 09 05:24:10 GMT 2024","29271","","","","","","Unbroken funnel -- @1.7 ",""
"failed","Mon Dec 09 05:21:45 GMT 2024","Mon Dec 09 05:22:14 GMT 2024","28990","","","","","","Unbroken funnel -- @1.3 ",""
"failed","Mon Dec 09 05:22:14 GMT 2024","Mon Dec 09 05:22:43 GMT 2024","28986","","","","","","Unbroken funnel -- @1.4 ",""
"passed","Mon Dec 09 05:34:25 GMT 2024","Mon Dec 09 05:36:40 GMT 2024","134536","","","","","","Restore Sleep Supplement funnel -- @1.5 ",""
"failed","Mon Dec 09 05:26:06 GMT 2024","Mon Dec 09 05:26:35 GMT 2024","28838","","","","","","Unbroken funnel -- @1.12 ",""
"failed","Mon Dec 09 05:51:10 GMT 2024","Mon Dec 09 05:52:32 GMT 2024","81518","","","","","","Restore Sleep Supplement funnel -- @1.15 ",""
"failed","Mon Dec 09 05:28:59 GMT 2024","Mon Dec 09 05:30:22 GMT 2024","83123","","","","","","Restore Sleep Supplement funnel -- @1.1 ",""
"passed","Mon Dec 09 06:08:59 GMT 2024","Mon Dec 09 06:11:15 GMT 2024","136556","","","","","","Restore Gut Supplement funnel -- @1.8 ",""
"passed","Mon Dec 09 06:00:19 GMT 2024","Mon Dec 09 06:02:38 GMT 2024","139188","","","","","","Restore Gut Supplement funnel -- @1.4 ",""
"passed","Mon Dec 09 06:24:44 GMT 2024","Mon Dec 09 06:27:01 GMT 2024","137308","","","","","","Restore Gut Supplement funnel -- @1.15 ",""
"failed","Mon Dec 09 05:27:03 GMT 2024","Mon Dec 09 05:27:32 GMT 2024","28489","","","","","","Unbroken funnel -- @1.14 ",""
"passed","Mon Dec 09 06:17:44 GMT 2024","Mon Dec 09 06:20:01 GMT 2024","137237","","","","","","Restore Gut Supplement funnel -- @1.12 ",""
"passed","Mon Dec 09 05:39:00 GMT 2024","Mon Dec 09 05:41:15 GMT 2024","134985","","","","","","Restore Sleep Supplement funnel -- @1.7 ",""
"failed","Mon Dec 09 05:47:32 GMT 2024","Mon Dec 09 05:48:53 GMT 2024","81490","","","","","","Restore Sleep Supplement funnel -- @1.13 ",""
"passed","Mon Dec 09 06:06:39 GMT 2024","Mon Dec 09 06:08:59 GMT 2024","139329","","","","","","Restore Gut Supplement funnel -- @1.7 ",""
"failed","Mon Dec 09 05:28:01 GMT 2024","Mon Dec 09 05:28:30 GMT 2024","29088","","","","","","Unbroken funnel -- @1.16 ",""
"passed","Mon Dec 09 06:15:29 GMT 2024","Mon Dec 09 06:17:44 GMT 2024","134492","","","","","","Restore Gut Supplement funnel -- @1.11 ",""
"passed","Mon Dec 09 06:02:38 GMT 2024","Mon Dec 09 06:04:52 GMT 2024","134180","","","","","","Restore Gut Supplement funnel -- @1.5 ",""
"failed","Mon Dec 09 05:26:35 GMT 2024","Mon Dec 09 05:27:03 GMT 2024","28708","","","","","","Unbroken funnel -- @1.13 ",""
"passed","Mon Dec 09 06:13:38 GMT 2024","Mon Dec 09 06:15:29 GMT 2024","110898","","","","","","Restore Gut Supplement funnel -- @1.10 ",""
