"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 13 14:30:54 GMT 2025","Thu Mar 13 14:33:34 GMT 2025","160871","","","","","","BB Live funnel -- @1.12 ",""
"passed","Thu Mar 13 14:33:34 GMT 2025","Thu Mar 13 14:35:32 GMT 2025","118011","","","","","","BB Live funnel -- @1.13 ",""
"passed","Thu Mar 13 14:51:34 GMT 2025","Thu Mar 13 14:53:42 GMT 2025","127918","","","","","","BB Live funnel -- @1.22 ",""
"failed","Thu Mar 13 15:14:06 GMT 2025","Thu Mar 13 15:15:01 GMT 2025","54289","","","","","","Restore Sleep Supplement nightly -- @1.1 ",""
"passed","Thu Mar 13 14:53:42 GMT 2025","Thu Mar 13 14:55:07 GMT 2025","85063","","","","","","BB Live funnel -- @1.23 ",""
"passed","Thu Mar 13 14:16:46 GMT 2025","Thu Mar 13 14:18:43 GMT 2025","117304","","","","","","BB Live funnel -- @1.5 ",""
"passed","Thu Mar 13 14:28:52 GMT 2025","Thu Mar 13 14:30:54 GMT 2025","121912","","","","","","BB Live funnel -- @1.11 ",""
"passed","Thu Mar 13 14:14:39 GMT 2025","Thu Mar 13 14:16:46 GMT 2025","126597","","","","","","BB Live funnel -- @1.4 ",""
"failed","Thu Mar 13 15:17:26 GMT 2025","Thu Mar 13 15:18:20 GMT 2025","54701","","","","","","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ",""
"passed","Thu Mar 13 14:35:32 GMT 2025","Thu Mar 13 14:38:10 GMT 2025","157081","","","","","","BB Live funnel -- @1.14 ",""
"passed","Thu Mar 13 15:15:01 GMT 2025","Thu Mar 13 15:17:26 GMT 2025","145173","","","","","","Restore Sleep Supplement nightly -- @1.2 ",""
"passed","Thu Mar 13 14:42:58 GMT 2025","Thu Mar 13 14:44:34 GMT 2025","95961","","","","","","BB Live funnel -- @1.17 ",""
"passed","Thu Mar 13 14:50:07 GMT 2025","Thu Mar 13 14:51:34 GMT 2025","86947","","","","","","BB Live funnel -- @1.21 ",""
"passed","Thu Mar 13 14:38:10 GMT 2025","Thu Mar 13 14:40:48 GMT 2025","158495","","","","","","BB Live funnel -- @1.15 ",""
"passed","Thu Mar 13 14:26:14 GMT 2025","Thu Mar 13 14:28:52 GMT 2025","157193","","","","","","BB Live funnel -- @1.10 ",""
"passed","Thu Mar 13 15:21:45 GMT 2025","Thu Mar 13 15:24:09 GMT 2025","143424","","","","","","Restore Gut Supplement nightly -- @1.2 ",""
"passed","Thu Mar 13 15:13:19 GMT 2025","Thu Mar 13 15:14:06 GMT 2025","46908","","","","","","Ageless Evergreen nightly -- @1.2 ",""
"passed","Thu Mar 13 14:24:14 GMT 2025","Thu Mar 13 14:26:14 GMT 2025","120427","","","","","","BB Live funnel -- @1.9 ",""
"passed","Thu Mar 13 15:10:11 GMT 2025","Thu Mar 13 15:13:19 GMT 2025","188324","","","","","","Ageless Evergreen nightly -- @1.1 ",""
"passed","Thu Mar 13 14:45:33 GMT 2025","Thu Mar 13 14:48:01 GMT 2025","148134","","","","","","BB Live funnel -- @1.19 ",""
"passed","Thu Mar 13 14:44:34 GMT 2025","Thu Mar 13 14:45:33 GMT 2025","59153","","","","","","BB Live funnel -- @1.18 ",""
"failed","Thu Mar 13 15:20:45 GMT 2025","Thu Mar 13 15:21:45 GMT 2025","60240","","","","","","Restore Gut Supplement nightly -- @1.1 ",""
"passed","Thu Mar 13 14:55:54 GMT 2025","Thu Mar 13 14:58:32 GMT 2025","158449","","","","","","Unbroken live nightly -- @1.2 ",""
"passed","Thu Mar 13 14:48:01 GMT 2025","Thu Mar 13 14:50:07 GMT 2025","126050","","","","","","BB Live funnel -- @1.20 ",""
"passed","Thu Mar 13 14:22:36 GMT 2025","Thu Mar 13 14:24:14 GMT 2025","98494","","","","","","BB Live funnel -- @1.8 ",""
"passed","Thu Mar 13 14:18:43 GMT 2025","Thu Mar 13 14:20:42 GMT 2025","118741","","","","","","BB Live funnel -- @1.6 ",""
"passed","Thu Mar 13 15:03:10 GMT 2025","Thu Mar 13 15:06:16 GMT 2025","185670","","","","","","BB Live nightly -- @1.2 ",""
"passed","Thu Mar 13 15:06:16 GMT 2025","Thu Mar 13 15:07:03 GMT 2025","46843","","","","","","BB Evergreen nightly -- @1.1 ",""
"passed","Thu Mar 13 15:07:03 GMT 2025","Thu Mar 13 15:10:11 GMT 2025","188126","","","","","","BB Evergreen nightly -- @1.2 ",""
"passed","Thu Mar 13 14:07:52 GMT 2025","Thu Mar 13 14:10:19 GMT 2025","147881","","","","","","BB Live funnel -- @1.1 ",""
"passed","Thu Mar 13 14:40:48 GMT 2025","Thu Mar 13 14:42:58 GMT 2025","130061","","","","","","BB Live funnel -- @1.16 ",""
"passed","Thu Mar 13 14:55:07 GMT 2025","Thu Mar 13 14:55:54 GMT 2025","46657","","","","","","Unbroken live nightly -- @1.1 ",""
"passed","Thu Mar 13 14:12:28 GMT 2025","Thu Mar 13 14:14:39 GMT 2025","130714","","","","","","BB Live funnel -- @1.3 ",""
"passed","Thu Mar 13 14:58:32 GMT 2025","Thu Mar 13 15:01:37 GMT 2025","184783","","","","","","Unbroken evergreen funnel -- @1.1 ",""
"passed","Thu Mar 13 14:20:42 GMT 2025","Thu Mar 13 14:22:36 GMT 2025","113706","","","","","","BB Live funnel -- @1.7 ",""
"passed","Thu Mar 13 15:01:37 GMT 2025","Thu Mar 13 15:02:24 GMT 2025","46562","","","","","","Unbroken evergreen funnel -- @1.2 ",""
"passed","Thu Mar 13 15:18:20 GMT 2025","Thu Mar 13 15:20:45 GMT 2025","144591","","","","","","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ",""
"passed","Thu Mar 13 14:10:19 GMT 2025","Thu Mar 13 14:12:28 GMT 2025","129056","","","","","","BB Live funnel -- @1.2 ",""
"passed","Thu Mar 13 15:02:24 GMT 2025","Thu Mar 13 15:03:10 GMT 2025","46615","","","","","","BB Live nightly -- @1.1 ",""
